1,1,A,0,1
1,1,B,1,1
1,1,C,0,1
1,1,D,0,1
1,1,E,0,1
1,1,F,0,1
1,2,A,0,1
1,2,B,0,1
1,2,C,0,1
1,2,D,0,1
1,2,E,0,1
1,2,F,0,1
1,3,A,0,1
1,3,B,0,1
1,3,C,0,1
1,3,D,0,1
1,3,E,0,1
1,3,F,0,1
1,4,A,0,1
1,4,B,0,0
1,4,C,0,0
1,4,D,0,0
1,4,E,0,0
1,4,F,0,0
1,5,A,1,0
1,5,B,0,0
1,5,C,0,0
1,5,D,0,0
1,5,E,0,0
1,5,F,0,0
1,6,A,0,0
1,6,B,1,0
1,6,C,0,0
1,6,D,1,0
1,6,E,0,0
1,6,F,1,0
1,7,A,0,0
1,7,B,1,0
1,7,C,0,0
1,7,D,0,0
1,7,E,0,0
1,7,F,1,0
1,8,A,0,0
1,8,B,0,0
1,8,C,1,0
1,8,D,0,0
1,8,E,0,0
1,8,F,0,0
1,9,A,1,0
1,9,B,0,0
1,9,C,1,0
1,9,D,0,0
1,9,E,0,0
1,9,F,1,0
1,10,A,0,0
1,10,B,1,0
1,10,C,0,0
1,10,D,1,0
1,10,E,0,0
1,10,F,1,0
1,11,A,0,0
1,11,B,0,0
1,11,C,0,0
1,11,D,0,0
1,11,E,0,0
1,11,F,0,0
1,12,A,0,0
1,12,B,0,0
1,12,C,0,0
1,12,D,0,0
1,12,E,0,0
1,12,F,0,0
1,13,A,0,0
1,13,B,0,0
1,13,C,0,0
1,13,D,0,0
2,1,A,0,1
2,1,B,0,1
2,1,C,1,1
2,1,D,0,1
2,1,E,0,1
2,1,F,0,1
2,2,A,0,1
2,2,B,0,1
2,2,C,0,1
2,2,D,0,1
2,2,E,0,1
2,2,F,0,1
2,3,A,0,1
2,3,B,0,1
2,3,C,0,1
2,3,D,0,1
2,3,E,0,0
2,3,F,0,0
2,4,A,0,0
2,4,B,0,0
2,4,C,0,0
2,4,D,1,0
2,4,E,0,0
2,4,F,1,0
2,5,A,0,0
2,5,B,0,0
2,5,C,0,0
2,5,D,0,0
2,5,E,0,0
2,5,F,0,0
2,6,A,0,0
2,6,B,1,0
2,6,C,1,0
2,6,D,0,0
2,6,E,0,0
2,6,F,0,0
2,7,A,0,0
2,7,B,1,0
2,7,C,0,0
2,7,D,0,0
2,7,E,0,0
2,7,F,1,0
2,8,A,0,0
2,8,B,0,0
2,8,C,0,0
2,8,D,0,0
2,8,E,1,0
2,8,F,0,0
2,9,A,0,0
2,9,B,0,0
2,9,C,0,0
2,9,D,0,0
2,9,E,0,0
2,9,F,0,0
2,10,A,0,0
2,10,B,0,0
2,10,C,1,0
2,10,D,0,0
2,10,E,0,0
2,10,F,0,0
2,11,A,0,0
2,11,B,0,0
2,11,C,0,0
2,11,D,0,0
2,11,E,0,0
2,11,F,0,0
2,12,A,0,0
3,1,A,0,1
3,1,B,0,1
3,1,C,0,1
3,1,D,0,1
3,1,E,0,1
3,1,F,1,1
3,2,A,0,1
3,2,B,0,1
3,2,C,0,1
3,2,D,0,1
3,2,E,0,0
3,2,F,0,0
3,3,A,0,0
3,3,B,0,0
3,3,C,0,0
3,3,D,0,0
3,3,E,1,0
3,3,F,0,0
3,4,A,0,0
3,4,B,0,0
3,4,C,0,0
3,4,D,0,0
3,4,E,0,0
3,4,F,1,0
3,5,A,1,0
3,5,B,0,0
3,5,C,0,0
3,5,D,0,0
3,5,E,0,0
3,5,F,0,0
3,6,A,0,0
3,6,B,1,0
3,6,C,0,0
3,6,D,0,0
3,6,E,0,0
3,6,F,0,0
3,7,A,0,0
3,7,B,0,0
3,7,C,0,0
3,7,D,0,0
3,7,E,0,0
3,7,F,0,0
4,1,A,1,1
4,1,B,0,1
4,1,C,0,1
4,1,D,0,1
4,1,E,0,1
4,1,F,0,1
4,2,A,0,1
4,2,B,0,0
4,2,C,1,0
4,2,D,1,0
4,2,E,0,0
4,2,F,0,0
4,3,A,0,0
4,3,B,0,0
4,3,C,1,0
4,3,D,0,0
4,3,E,0,0
4,3,F,0,0
4,4,A,1,0
4,4,B,0,0
4,4,C,0,0
4,4,D,1,0
4,4,E,0,0
4,4,F,0,0
4,5,A,1,0
4,5,B,0,0
4,5,C,0,0
4,5,D,0,0
4,5,E,0,0
4,5,F,1,0
4,6,A,0,0
5,1,A,0,1
5,1,B,0,1
5,1,C,0,1
5,1,D,0,1
5,1,E,0,1
5,1,F,0,1
5,2,A,0,1
5,2,B,0,1
5,2,C,0,1
5,2,D,0,1
5,2,E,0,1
5,2,F,1,1
5,3,A,0,1
5,3,B,0,1
5,3,C,1,1
5,3,D,0,1
5,3,E,0,1
5,3,F,0,1
5,4,A,0,1
5,4,B,0,1
5,4,C,1,1
5,4,D,1,1
5,4,E,0,1
5,4,F,0,1
5,5,A,0,1
5,5,B,0,1
5,5,C,0,1
5,5,D,0,1
5,5,E,0,0
5,5,F,0,0
5,6,A,0,0
