1,Andahuaylas,Juliaca,02/01/2025,312,45
2,Andahuaylas,Chiclayo,02/01/2025,177,60
3,Trujillo,Juliaca,02/01/2025,332,37
4,Trujillo,Piura,02/01/2025,128,56
5,Andahuaylas,SanMartin,02/01/2025,242,42
6,Ucayali,Arequipa,02/01/2025,370,37
7,Trujillo,Cuzco,02/01/2025,459,40
8,Juliaca,Trujillo,02/01/2025,158,59
9,Ucayali,Trujillo,02/01/2025,337,43
10,Andahuaylas,Cuzco,02/01/2025,179,40
11,PuertoMaldonado,Lima,02/01/2025,287,56
12,Chiclayo,Lima,02/01/2025,141,35
13,Arequipa,Juliaca,02/01/2025,441,48
14,Ucayali,Andahuaylas,02/01/2025,300,31
15,CerroDePasco,Chiclayo,02/01/2025,408,58
16,Cuzco,Andahuaylas,02/01/2025,237,43
17,Chiclayo,SanMartin,02/01/2025,378,41
18,Ucayali,SanMartin,02/01/2025,202,35
19,Cajamarca,PuertoMaldonado,02/01/2025,373,53
20,Cajamarca,Lima,02/01/2025,106,48
21,Chiclayo,CerroDePasco,02/01/2025,268,51
22,Ucayali,Cajamarca,02/01/2025,369,42
23,Lima,Arequipa,02/01/2025,198,44
24,CerroDePasco,Lima,02/01/2025,393,40
25,Trujillo,SanMartin,02/01/2025,277,49
26,Tacna,Lima,02/01/2025,159,59
27,Iquitos,Ucayali,02/01/2025,461,52
28,Arequipa,Iquitos,02/01/2025,229,50
29,Tacna,Andahuaylas,02/01/2025,147,43
30,Cuzco,Tacna,02/01/2025,253,52
31,SanMartin,Arequipa,03/01/2025,344,32
32,Trujillo,Piura,03/01/2025,288,43
33,Cajamarca,Tacna,03/01/2025,165,47
34,Andahuaylas,Tacna,03/01/2025,177,50
35,Juliaca,Iquitos,03/01/2025,191,43
36,PuertoMaldonado,Juliaca,03/01/2025,183,46
37,SanMartin,Cajamarca,03/01/2025,216,33
38,SanMartin,Cuzco,03/01/2025,443,58
39,Juliaca,Trujillo,03/01/2025,420,32
40,Iquitos,SanMartin,03/01/2025,127,52
41,Lima,PuertoMaldonado,03/01/2025,498,31
42,Iquitos,PuertoMaldonado,03/01/2025,357,36
43,Tacna,Lima,03/01/2025,398,35
44,Ucayali,SanMartin,03/01/2025,143,30
45,Juliaca,SanMartin,03/01/2025,165,47
46,Andahuaylas,Juliaca,03/01/2025,201,33
47,Iquitos,Lima,03/01/2025,453,55
48,Chiclayo,Cajamarca,03/01/2025,288,34
49,PuertoMaldonado,Ucayali,03/01/2025,225,47
50,Chiclayo,Trujillo,03/01/2025,202,39
51,CerroDePasco,Arequipa,03/01/2025,182,47
52,Cajamarca,CerroDePasco,03/01/2025,239,37
53,Ucayali,Chiclayo,03/01/2025,251,30
54,Piura,Andahuaylas,03/01/2025,192,42
55,Arequipa,Lima,03/01/2025,210,56
56,Ucayali,Cajamarca,03/01/2025,224,35
57,Lima,Tacna,03/01/2025,144,32
58,Cuzco,Trujillo,03/01/2025,128,50
59,Ucayali,Iquitos,03/01/2025,117,58
60,PuertoMaldonado,Iquitos,03/01/2025,105,50
61,Tacna,Cajamarca,04/01/2025,133,37
62,Cuzco,Trujillo,04/01/2025,348,45
63,Trujillo,Iquitos,04/01/2025,223,33
64,Ucayali,Trujillo,04/01/2025,454,34
65,Chiclayo,Juliaca,04/01/2025,141,37
66,Piura,Andahuaylas,04/01/2025,481,53
67,Andahuaylas,Chiclayo,04/01/2025,417,33
68,Lima,Cuzco,04/01/2025,308,47
69,Piura,Ucayali,04/01/2025,382,43
70,Juliaca,Piura,04/01/2025,216,47
71,PuertoMaldonado,Arequipa,04/01/2025,119,58
72,Cajamarca,Tacna,04/01/2025,353,52
73,Tacna,Cuzco,04/01/2025,356,39
74,Arequipa,Tacna,04/01/2025,494,41
75,Piura,Cuzco,04/01/2025,336,53
76,SanMartin,PuertoMaldonado,04/01/2025,217,34
77,Trujillo,PuertoMaldonado,04/01/2025,317,38
78,Arequipa,Trujillo,04/01/2025,317,55
79,Lima,Juliaca,04/01/2025,271,49
80,Andahuaylas,Piura,04/01/2025,118,55
81,Juliaca,Cuzco,04/01/2025,244,49
